Date Time,ESZ8,Open,High,Low,Last,Volume,Open Interest,range,Over_50_points
2015-07-23,ESZ8,2071.75,2076.25,2054.0,2061.0,1437249,2641582,22.25,False
2015-07-24,ESZ8,2063.5,2066.5,2032.25,2040.0,1669725,2675616,34.25,False
2015-07-27,ESZ8,2040.75,2043.25,2019.0,2027.0,1781810,2699408,24.25,False
2015-07-28,ESZ8,2028.0,2051.5,2024.0,2049.75,1725788,2671539,27.5,False
2015-07-29,ESZ8,2050.5,2066.75,2047.0,2064.0,1397228,2657695,19.75,False
2015-07-30,ESZ8,2062.0,2066.75,2050.25,2066.25,1286157,2654075,16.5,False
2015-07-31,ESZ8,2064.25,2071.75,2057.75,2061.0,1602805,2668917,14.0,False
2015-08-03,ESZ8,2061.25,2065.0,2042.5,2053.5,1512106,2669093,22.5,False
2015-08-04,ESZ8,2053.0,2058.75,2044.0,2045.5,1327878,2675097,14.75,False
2015-08-05,ESZ8,2045.0,2069.5,2044.75,2056.25,1384241,2656916,24.75,False
2015-08-06,ESZ8,2056.5,2061.75,2032.5,2042.0,1608876,2673527,29.25,False
2015-08-07,ESZ8,2042.5,2045.25,2024.5,2036.0,1596391,2717584,20.75,False
2015-08-10,ESZ8,2034.5,2063.75,2034.25,2062.25,1198912,2707594,29.5,False
2015-08-11,ESZ8,2063.25,2064.25,2033.25,2042.25,1783349,2736342,31.0,False
2015-08-12,ESZ8,2043.25,2047.75,2009.0,2046.75,2364321,2767869,38.75,False
2015-08-13,ESZ8,2045.25,2055.5,2035.75,2043.0,1496065,2773957,19.75,False
2015-08-14,ESZ8,2041.75,2053.0,2036.25,2052.0,1069465,2773006,16.75,False
2015-08-17,ESZ8,2052.0,2063.0,2037.25,2061.75,1292437,2783936,25.75,False
2015-08-18,ESZ8,2060.75,2066.25,2052.75,2056.5,1135552,2787015,13.5,False
2015-08-19,ESZ8,2055.75,2060.5,2029.0,2035.25,2289064,2805536,31.5,False
2015-08-20,ESZ8,2036.0,2040.25,1987.0,1988.0,2583142,2876543,53.25,True
2015-08-21,ESZ8,1988.75,1991.5,1929.75,1934.0,4168331,2938889,61.75,True
